"id","committer","comunity","star","watcher","pull_request","dpdp","pdp"
"33949","2","2","5","4","","TRUE","TRUE"
"35675","2","2","7","3","","TRUE","TRUE"
"35727","7","7","7","7","","TRUE","TRUE"
"36182","1","1","4","4","","TRUE","TRUE"
"36555","3","3","2","2","","FALSE","FALSE"
"37272","8","8","0","1","","FALSE","TRUE"
"37894","67","70","14","15","","FALSE","TRUE"
"37934","1","1","1","1","","FALSE","TRUE"
"37948","1","1","31","19","","TRUE","TRUE"
"38165","2","2","7","6","","TRUE","TRUE"
"38238","2","3","37","28","","FALSE","FALSE"
"39267","2","3","19","16","","TRUE","TRUE"
"39462","1","1","19","16","","FALSE","TRUE"
"40667","3","4","9","11","","TRUE","TRUE"
"41751","3","3","2","2","","TRUE","FALSE"
"42278","3","3","57","60","","FALSE","FALSE"
"42777","13","13","9","9","","FALSE","TRUE"
"42977","1","2","0","1","","FALSE","TRUE"
"43161","2","2","104","95","","FALSE","TRUE"
"43684","1","1","3","4","","FALSE","FALSE"
"43960","1","1","1","1","","TRUE","TRUE"
"44021","7","7","6","3","","TRUE","TRUE"
"44034","2","3","56","50","","FALSE","TRUE"
"44517","2","2","6","3","","FALSE","TRUE"
"44586","1","1","41","25","","TRUE","TRUE"
"44753","1","1","7","5","","TRUE","FALSE"
"45143","4","6","41","41","","FALSE","TRUE"
"46533","1","1","138","101","","TRUE","TRUE"
"47028","1","1","6","5","","TRUE","TRUE"
"47766","3","4","5","4","","FALSE","TRUE"
"48672","2","4","11","13","","FALSE","TRUE"
"49331","3","3","3","3","","TRUE","TRUE"
"49804","1","1","2","1","","FALSE","TRUE"
"51138","1","1","4","4","","FALSE","FALSE"
"52683","2","2","1","1","","FALSE","TRUE"
"53003","2","2","1","1","","FALSE","TRUE"
"53337","3","3","1","1","","FALSE","TRUE"
"54223","1","1","7","9","","TRUE","TRUE"
"54527","2","2","6","5","","FALSE","TRUE"
"54704","3","3","5","4","","FALSE","FALSE"
"55279","1","1","0","1","","FALSE","TRUE"
"55440","5","5","0","1","","FALSE","TRUE"
"55784","2","2","20","18","","FALSE","FALSE"
"58527","2","4","0","13","","FALSE","TRUE"
"58821","2","2","1","1","","FALSE","TRUE"
"58859","5","5","1","1","","FALSE","TRUE"
"59483","1","1","8","8","","TRUE","TRUE"
"59575","2","2","6","1","","TRUE","TRUE"
