DPDP,id,star,watcher,committer,comunity,have_language,pull_request
FALSE,2513142,1,1,1,1,1,0
TRUE,2519097,1,0,1,1,1,0
FALSE,374599,0,3,2,3,1,0
TRUE,508459,4,3,1,1,1,0
FALSE,684458,23,14,1,1,0,0
TRUE,551583,77,63,1,1,1,0
TRUE,597367,12,4,1,1,1,0
TRUE,1485997,7,6,2,2,1,1
FALSE,2510794,3,2,4,4,1,0
FALSE,2513703,1,0,2,2,1,0
FALSE,753359,6,9,3,4,1,2
TRUE,1065425,1,0,1,1,1,0
FALSE,2512592,1,0,1,1,0,0
FALSE,2524611,0,0,1,1,1,0
FALSE,2226342,4,2,5,5,0,0
FALSE,2509389,3,1,6,6,1,0
FALSE,2512159,1,0,1,1,0,0
TRUE,256417,138,74,4,5,1,5
TRUE,682570,12,15,2,2,1,0
TRUE,2340487,9,8,2,2,1,0
TRUE,2510492,8,7,1,1,0,0
TRUE,2519291,4,1,1,1,1,0
FALSE,263956,7,2,5,5,1,1
TRUE,2200185,2,1,1,1,1,0
TRUE,2209509,2,1,2,2,1,0
FALSE,2511881,1,0,1,1,1,0
FALSE,2514880,1,0,1,1,1,0
TRUE,453552,69,55,5,9,1,3
TRUE,1267227,3,1,1,1,1,0
TRUE,2228401,2,1,1,1,1,0
FALSE,2508147,1,0,1,1,1,0
FALSE,929875,10,6,1,1,0,0
TRUE,1245083,12,5,1,1,1,0
TRUE,2207839,4,2,1,1,1,0
TRUE,2224763,5,4,3,3,1,0
FALSE,2516840,1,0,1,1,1,0
TRUE,700437,1,0,2,2,0,1
FALSE,763712,1,1,2,2,1,0
TRUE,2217988,10,1,0,0,1,1
TRUE,2227310,2,1,1,1,1,0
FALSE,2510053,2,1,1,1,1,0
TRUE,25249,87,92,3,6,1,2
TRUE,679235,0,1,1,1,1,0
TRUE,10458,3,3,4,4,1,0
TRUE,168927,21,23,1,5,1,0
FALSE,2146659,3,3,1,1,0,0
TRUE,63969,16,10,6,8,1,2
TRUE,1078426,4,0,1,1,1,0
FALSE,2514804,1,0,1,1,1,0
TRUE,2508417,4,0,5,5,1,0
TRUE,2511092,0,0,1,1,1,0
TRUE,30794,21,12,4,4,1,3
TRUE,791574,2,1,2,2,1,1
FALSE,2365293,1,0,2,2,1,1
TRUE,45143,41,41,4,6,1,0
FALSE,2515704,1,0,1,1,1,0
TRUE,170897,4,1,3,3,1,1
FALSE,2492071,1,0,1,1,1,0
FALSE,2508481,2,1,1,2,1,0
FALSE,2508342,2,2,1,1,1,0
FALSE,2513913,2,1,1,1,1,0
FALSE,2519805,1,0,2,2,1,0
TRUE,2511179,4,4,1,1,1,0
FALSE,953497,1,1,2,2,1,0
TRUE,2510707,0,0,1,1,1,0
FALSE,2519500,1,1,1,1,1,0
TRUE,287879,24,10,5,9,1,5
TRUE,632071,52,28,1,4,1,2
TRUE,11925,14,7,1,1,1,0
FALSE,1202166,4,0,1,1,1,0
TRUE,15058,1378,599,45,194,1,139
TRUE,2517410,2,0,1,1,1,0
FALSE,736393,4,1,3,3,1,0
FALSE,2225740,11,5,1,1,1,0
FALSE,2506342,0,0,2,2,1,0
TRUE,2509010,0,0,1,1,1,0
FALSE,2514694,1,0,1,1,1,0
FALSE,2506919,1,0,1,1,1,0
FALSE,2509558,1,0,1,1,0,0
